dateTime,url,isSeries,name,originalName,year,isWatched,userVote,tmdbId
2026-09-01,https://www.kinopoisk.ru/film/5506641/,нет,Очень страшное кино,Scary Movie,2026,да,5,1273221
2026-08-15,https://www.kinopoisk.ru/film/1008408/,нет,Камуфляж и шпионаж,Spies in Disguise,2019,да,7,431693
2026-08-11,https://www.kinopoisk.ru/film/81314/,нет,Отступники,The Departed,2006,да,7,1422
2026-08-10,https://www.kinopoisk.ru/film/391/,нет,Заводной апельсин,A Clockwork Orange,1971,да,8,185
2026-08-04,https://www.kinopoisk.ru/film/4290977/,да,Книга Бобы Фетта,The Book of Boba Fett,2021,да,7,115036
2026-08-04,https://www.kinopoisk.ru/film/1118138/,да,Мандалорец,The Mandalorian,2019,да,7,82856
2026-08-04,https://www.kinopoisk.ru/film/718222/,нет,Звёздные войны: Скайуокер. Восход,Star Wars: Episode IX - The Rise of Skywalker,2019,да,6,181812
2026-08-04,https://www.kinopoisk.ru/film/718223/,нет,Звёздные войны: Последние джедаи,Star Wars: Episode VIII - The Last Jedi,2017,да,7,181808
2026-08-04,https://www.kinopoisk.ru/film/714888/,нет,Звёздные войны: Пробуждение силы,Star Wars: Episode VII - The Force Awakens,2015,да,7,140607
2026-08-04,https://www.kinopoisk.ru/film/447/,нет,Звёздные войны: Эпизод 6 – Возвращение Джедая,Star Wars: Episode VI - Return of the Jedi,1983,да,8,1892
2026-08-04,https://www.kinopoisk.ru/film/338/,нет,Звёздные войны: Эпизод 5 – Империя наносит ответный удар,Star Wars: Episode V - The Empire Strikes Back,1980,да,8,1891
2026-08-04,https://www.kinopoisk.ru/film/5619/,нет,Звёздные войны: Эпизод 3 – Месть ситхов,Star Wars: Episode III - Revenge of the Sith,2005,да,8,1895
2026-08-04,https://www.kinopoisk.ru/film/844/,нет,Звёздные войны: Эпизод 2 – Атака клонов,Star Wars: Episode II - Attack of the Clones,2002,да,8,1894
2026-08-04,https://www.kinopoisk.ru/film/6695/,нет,Звёздные войны: Эпизод 1 – Скрытая угроза,Star Wars: Episode I - The Phantom Menace,1999,да,7,1893
2026-08-04,https://www.kinopoisk.ru/film/931677/,нет,Дюнкерк,Dunkirk,2017,да,7,374720
2026-07-31,https://www.kinopoisk.ru/film/333/,нет,Звёздные войны: Эпизод 4 – Новая надежда,Star Wars,1977,да,7,11
2026-07-30,https://www.kinopoisk.ru/film/1015471/,нет,Райя и последний дракон,Raya and the Last Dragon,2021,да,7,527774
2026-07-30,https://www.kinopoisk.ru/film/706019/,нет,Не время умирать,No Time to Die,2020,да,6,370172
2026-07-30,https://www.kinopoisk.ru/film/418/,нет,Цельнометаллическая оболочка,Full Metal Jacket,1987,да,8,600
2026-07-21,https://www.kinopoisk.ru/film/5452841/,нет,Закулисье реальности,Backrooms,2026,да,7,1083381
2026-07-09,https://www.kinopoisk.ru/film/5437614/,нет,Майкл,Michael,2026,да,7,936075
2026-05-25,https://www.kinopoisk.ru/film/460586/,да,Пацаны,The Boys,2019,да,8,76479
2026-04-19,https://www.kinopoisk.ru/film/6589776/,да,Питт,The Pitt,2025,да,8,250307
2026-04-11,https://www.kinopoisk.ru/film/1382256/,нет,Проект Конец света,Project Hail Mary,2026,да,8,687163
2026-03-28,https://www.kinopoisk.ru/film/273064/,нет,Доказательство смерти,Death Proof,2007,да,8,1991
2026-03-25,https://www.kinopoisk.ru/film/81530/,нет,Матч поинт,Match Point,2005,да,7,116
2026-03-21,https://www.kinopoisk.ru/film/841700/,нет,Марсианин,The Martian,2015,да,8,286217
2026-03-20,https://www.kinopoisk.ru/film/7605773/,нет,Простая случайность,Yek tasadof-e sadeh,2025,да,8,1456349
2026-03-18,https://www.kinopoisk.ru/film/61271/,нет,Загадочная кожа,Mysterious Skin,2004,да,8,11171
2026-03-18,https://www.kinopoisk.ru/film/535243/,нет,Каскадёры,The Fall Guy,2024,да,7,746036
2026-03-13,https://www.kinopoisk.ru/film/6871/,нет,Пляж,The Beach,2000,да,7,1907
2026-03-13,https://www.kinopoisk.ru/film/979148/,нет,Назови меня своим именем,Call Me by Your Name,2017,да,7,398818
2026-03-06,https://www.kinopoisk.ru/film/718811/,нет,Прибытие,Arrival,2016,да,8,329865
2026-02-27,https://www.kinopoisk.ru/film/5454868/,нет,"Хамнет: История, вдохновившая Гамлета",Hamnet,2025,да,8,858024
2026-02-23,https://www.kinopoisk.ru/film/5499518/,нет,Грешники,Sinners,2025,да,7,1233413
2026-02-21,https://www.kinopoisk.ru/film/3608/,нет,С широко закрытыми глазами,Eyes Wide Shut,1999,да,7,345
2026-02-19,https://www.kinopoisk.ru/film/1378893/,нет,Бугония,Bugonia,2025,да,7,701387
2026-02-13,https://www.kinopoisk.ru/film/4825582/,нет,Одинокие волки,Wolfs,2024,да,7,877817
2026-01-27,https://www.kinopoisk.ru/film/5268266/,нет,Возвращение в Сайлент Хилл,Return to Silent Hill,2025,да,6,680493
2026-01-27,https://www.kinopoisk.ru/film/6750360/,нет,Горничная,The Housemaid,2025,да,7,1368166
2026-01-26,https://www.kinopoisk.ru/film/6290547/,нет,Марти Великолепный,Marty Supreme,2025,да,8,1317288
2026-01-26,https://www.kinopoisk.ru/film/5437094/,нет,Битва за битвой,One Battle After Another,2025,да,8,1054867
2026-01-21,https://www.kinopoisk.ru/film/251733/,нет,Аватар,Avatar,2009,да,8,19995
2026-01-21,https://www.kinopoisk.ru/film/570402/,нет,Аватар: Пламя и пепел,Avatar: Fire and Ash,2025,да,8,83533
2026-01-19,https://www.kinopoisk.ru/film/1055194/,нет,Грейхаунд,Greyhound,2020,да,7,516486
2026-01-14,https://www.kinopoisk.ru/film/1077781/,нет,Убийцы цветочной луны,Killers of the Flower Moon,2023,да,7,466420
